bathrooms,bedrooms,price,square_feet,latitude,longitude,time,number_of_amenities
1.0,1.0,750,250,35.2016,-80.8124,1576666455,0
1.0,1.0,725,250,36.137,-86.783,1577359105,0
1.0,1.0,725,250,33.8691,-84.7686,1577015201,0
1.0,1.0,720,250,29.4782,-98.2759,1577359126,0
1.0,1.0,705,250,29.7714,-95.4343,1577359260,1
1.0,1.0,700,250,33.4234,-111.5415,1577359294,1
1.0,1.0,700,250,30.3054,-97.7497,1577359117,1
1.0,1.0,700,250,39.9156,-105.0876,1577358923,0
1.0,1.0,700,250,33.5783,-111.8902,1577359295,1
1.0,1.0,700,250,28.5163,-81.3644,1577359121,0
1.0,1.0,700,250,39.3191,-76.6126,1577015367,1
1.0,1.0,700,250,39.6041,-104.8594,1577015096,0
1.0,1.0,700,250,39.6894,-105.1119,1577015096,0
1.0,1.0,700,250,30.0066,-97.8071,1577015019,0
1.0,0.0,695,250,42.5286,-92.4509,1577358970,3
1.0,1.0,695,250,41.7834,-87.8099,1577015589,0
1.0,1.0,685,250,34.0505,-81.0098,1577359144,0
1.0,1.0,685,250,33.5178,-112.0848,1577015542,1
1.0,1.0,675,250,29.7714,-95.4343,1577015328,0
1.0,1.0,675,250,45.1748,-93.3109,1575638484,0
1.0,1.0,660,250,33.5178,-112.0848,1577015549,0
1.0,1.0,650,250,39.3191,-76.6126,1577359203,1
1.0,1.0,650,250,44.9545,-123.0072,1577359002,0
1.0,1.0,650,250,29.4832,-82.8641,1577358919,0
1.0,1.0,650,250,29.4624,-98.5253,1577014919,0
1.0,1.0,650,250,36.0402,-86.6385,1577014855,1
1.0,1.0,645,250,33.6285,-78.9873,1577359007,1
1.0,1.0,645,250,35.2016,-80.8124,1576666471,1
1.0,1.0,625,250,27.0717,-82.3833,1577359138,1
1.0,1.0,610,250,33.5178,-112.0848,1577015550,0
1.0,1.0,600,250,28.473,-82.5474,1577358940,1
1.0,1.0,600,250,32.2264,-110.9438,1577359177,1
1.0,1.0,600,250,33.9369,-84.306,1577359225,1
1.0,1.0,600,250,36.9873,-122.016,1577358918,0
1.0,1.0,600,250,28.0076,-82.4792,1577015248,0
1.0,1.0,600,250,47.1165,-88.5631,1577017139,0
1.0,1.0,600,250,35.823,-78.6438,1577015762,0
1.0,1.0,595,250,37.6465,-78.2899,1577358867,0
1.0,1.0,580,250,27.6361,-80.4261,1577358942,1
1.0,1.0,575,250,39.9849,-75.8127,1577359007,0
1.0,1.0,575,250,28.681,-81.2808,1577014894,0
1.0,1.0,550,250,39.2019,-76.951,1577359203,0
1.0,1.0,550,250,38.7701,-77.2263,1577359287,1
1.0,1.0,500,250,33.8829,-78.6369,1577359006,1
1.0,1.0,500,250,29.5056,-94.9889,1577359258,1
1.0,1.0,500,250,34.8856,-112.4675,1577358597,0
1.0,1.0,499,250,38.2006,-84.9469,1577358627,5
1.0,1.0,495,250,33.5178,-112.0848,1577015536,1
1.0,1.0,200,250,39.3903,-77.1487,1577015099,0
1.0,0.0,1325,253,47.616,-122.3275,1577360339,0
1.0,0.0,1400,255,47.7046,-122.1989,1577360324,0
1.0,0.0,1995,258,37.7599,-122.4379,1577358513,5
1.0,1.0,710,265,43.0724,-89.4003,1577358725,2
1.0,1.0,1659,272,38.9118,-77.0132,1577358754,6
1.0,1.0,1600,272,37.7078,-122.1435,1577359208,0
1.0,1.0,850,273,39.1471,-86.5136,1577359051,6
1.0,0.0,1900,275,33.6019,-117.8637,1577016114,0
1.0,1.0,1505,275,34.0372,-118.2972,1576666500,0
1.0,1.0,900,275,33.3423,-111.7755,1577015539,1
1.0,0.0,892,275,41.8625,-87.6825,1577359302,2
1.0,1.0,705,275,39.1263,-84.5172,1568768104,0
1.0,1.0,1240,280,38.8077,-76.9886,1577359251,1
1.0,1.0,870,285,61.1723,-149.8414,1577360387,0
1.0,0.0,1095,286,41.8625,-87.6825,1577360156,0
1.0,0.0,1350,288,47.616,-122.3275,1577360185,0
1.0,1.0,865,288,40.3911,-80.1989,1568777542,6
1.0,1.0,690,288,28.0076,-82.4792,1577015236,6
1.0,0.0,1099,290,45.5091,-122.6449,1577359880,0
1.0,1.0,700,290,44.9855,-93.3023,1576666463,5
1.0,0.0,850,296,41.6595,-91.535,1577359840,0
1.0,0.0,2200,300,37.4356,-122.134,1577360127,0
1.0,1.0,2112,300,41.0591,-74.1452,1568781099,3
1.0,1.0,1868,300,34.1428,-117.9996,1568779369,3
1.0,1.0,1785,300,41.7277,-72.8374,1568777007,4
1.0,1.0,1575,300,34.0628,-118.2754,1568758026,5
1.0,1.0,1534,300,39.1775,-77.1944,1568766195,4
1.0,1.0,1470,300,41.7773,-72.5249,1568777135,3
1.0,1.0,1470,300,39.1627,-76.6354,1568775346,3
1.0,1.0,1470,300,39.1723,-76.8514,1568774838,3
1.0,2.0,1425,300,40.6496,-73.9596,1577359277,5
1.0,1.0,1386,300,39.2081,-76.661,1568777995,3
1.0,0.0,1195,300,47.616,-122.3275,1577360005,0
1.0,1.0,995,300,41.9891,-87.6572,1577359553,0
1.0,0.0,975,300,33.7815,-118.1934,1568777618,0
1.0,1.0,911,300,41.8625,-87.6825,1577358589,4
1.0,0.0,900,300,30.3054,-97.7497,1577017126,0
1.0,1.0,800,300,40.5649,-105.0824,1577358930,1
1.0,1.0,800,300,33.7416,-84.2614,1577359226,0
1.0,1.0,795,300,39.736,-104.9819,1577015008,0
1.0,1.0,795,300,27.3181,-82.4987,1575418787,1
1.0,1.0,775,300,43.0531,-87.9659,1577015786,4
1.0,0.0,760,300,41.8625,-87.6825,1577359552,0
1.0,1.0,750,300,28.23,-82.3055,1577015246,1
1.0,1.0,725,300,41.6151,-71.1705,1577358646,0
1.0,1.0,700,300,33.5571,-84.2167,1577359227,0
1.0,1.0,650,300,39.9974,-82.9829,1577359330,2
1.0,1.0,595,300,39.0744,-108.5228,1577360203,0
1.0,1.0,590,300,39.1471,-86.5136,1577359047,6
1.0,2.0,590,300,39.1471,-86.5136,1577359047,7
1.0,2.0,585,300,39.1471,-86.5136,1577359049,7
1.0,2.0,580,300,40.1145,-88.2723,1577359060,6
1.0,1.0,400,300,35.823,-78.6438,1576322125,0
1.0,1.0,1195,301,39.5197,-119.8342,1577358435,6
1.0,1.0,1094,306,39.5197,-119.8342,1577358436,7
1.0,0.0,725,308,40.4969,-86.9659,1577358856,4
1.0,0.0,1099,309,45.5091,-122.6449,1577360408,0
1.0,2.0,1222,310,42.6398,-71.3184,1577358523,6
1.0,0.0,2195,313,37.7599,-122.4379,1577358518,2
1.0,1.0,760,313,39.7953,-86.1387,1577015158,5
1.0,2.0,650,314,41.2321,-111.9813,1577359130,11
1.0,0.0,2695,315,37.7599,-122.4379,1577359148,3
1.0,2.0,730,315,61.1723,-149.8414,1577358613,1
1.0,0.0,659,315,38.0172,-84.4931,1577360268,0
1.0,1.0,775,317,40.3613,-86.9005,1577358839,3
1.0,0.0,1350,318,38.9799,-77.0798,1577017003,0
1.0,1.0,1100,319,41.8625,-87.6825,1577015588,7
1.0,1.0,965,320,41.8625,-87.6825,1577015533,4
1.0,0.0,675,320,41.4648,-81.6794,1577014873,6
1.0,1.0,925,321,39.6894,-105.1119,1577015009,0
1.0,1.0,845,322,43.0531,-87.9659,1577360013,0
1.0,2.0,700,324,43.0724,-89.4003,1577358723,1
1.0,2.0,2700,325,42.328,-71.071,1568746385,1
1.0,2.0,1995,325,33.8517,-118.3978,1577359569,0
1.0,1.0,1350,325,47.616,-122.3275,1577360015,0
1.0,2.0,1349,325,41.8625,-87.6825,1577359541,0
1.0,2.0,975,325,36.1554,-115.1733,1577359194,8
1.0,0.0,925,325,41.8625,-87.6825,1577015409,5
1.0,2.0,899,325,41.8625,-87.6825,1577358591,1
1.0,2.0,700,325,41.1873,-73.1811,1575973668,0
1.0,2.0,325,325,41.6675,-83.5837,1577358894,2
1.0,1.0,915,330,39.6665,-105.0962,1568750828,1
1.0,0.0,799,330,40.4969,-86.9659,1577358854,5
1.0,1.0,710,330,39.0744,-94.5521,1577358661,1
1.0,2.0,2695,332,37.7599,-122.4379,1577015142,2
1.0,1.0,2295,332,37.7599,-122.4379,1577359191,2
1.0,2.0,1079,333,39.736,-104.9819,1577358484,0
1.0,2.0,1386,334,30.3054,-97.7497,1577359810,0
1.0,1.0,800,335,41.5927,-93.6276,1577360440,0
1.0,0.0,2195,336,37.7856,-122.4121,1577358517,3
1.0,2.0,1100,336,43.0834,-87.8861,1577359383,0
1.0,1.0,1099,336,28.0076,-82.4792,1577358537,2
1.0,0.0,625,336,32.2264,-110.9438,1577359175,6
1.0,2.0,809,337,30.3054,-97.7497,1577359645,0
1.0,0.0,2295,338,37.7599,-122.4379,1577358520,1
1.0,2.0,1160,338,29.6533,-82.3656,1577358920,12
1.0,2.0,998,338,44.9605,-89.6304,1577358939,3
1.0,2.0,990,338,45.5091,-122.6449,1577014971,5
1.0,1.0,785,340,43.0724,-89.4003,1577015515,2
1.0,2.0,720,340,40.4969,-86.9659,1577358854,5
1.0,0.0,1240,341,33.3898,-111.9272,1577359295,11
1.0,0.0,2395,342,37.7599,-122.4379,1577358449,1
1.0,2.0,480,342,40.3613,-86.9005,1577358831,5
1.0,0.0,800,344,35.0462,-85.2352,1577359042,9
1.0,1.0,1655,346,47.616,-122.3275,1577358500,2
1.0,1.0,899,346,44.9855,-93.3023,1577015490,5
1.0,1.0,600,347,38.6274,-90.304,1577360376,0
1.0,2.0,699,348,39.0744,-94.5521,1577015083,3
1.0,0.0,2195,350,37.7599,-122.4379,1577359116,1
1.0,2.0,1670,350,42.2711,-83.745,1577358932,3
1.0,1.0,1650,350,37.3108,-121.8645,1577359192,1
1.0,2.0,1550,350,38.9118,-77.0132,1577358441,1
1.0,0.0,1400,350,34.0372,-118.2972,1577359937,0
1.0,0.0,1299,350,45.5091,-122.6449,1577360303,0
1.0,0.0,1299,350,47.616,-122.3275,1577360078,0
1.0,2.0,1200,350,42.7742,-71.0937,1577358621,12
1.0,1.0,1145,350,40.0054,-75.1415,1577359955,0
1.0,1.0,1000,350,43.0724,-89.4003,1575638624,6
1.0,0.0,940,350,41.8625,-87.6825,1577360155,0
1.0,2.0,895,350,40.1119,-82.9128,1577358699,8
1.0,0.0,875,350,30.3054,-97.7497,1577016822,0
1.0,1.0,800,350,41.8625,-87.6825,1577359433,1
1.0,0.0,710,350,47.6794,-117.4018,1577360024,0
1.0,0.0,699,350,39.597,-78.8345,1576748654,2
1.0,2.0,695,350,61.1723,-149.8414,1577358612,1
1.0,0.0,592,350,32.2264,-110.9438,1577358743,2
1.0,1.0,1225,351,45.5091,-122.6449,1577014993,8
1.0,2.0,1246,352,30.3054,-97.7497,1577359731,0
1.0,0.0,1225,352,34.0786,-118.2615,1568750311,2
1.0,1.0,675,354,38.9163,-94.3719,1577015051,6
1.0,0.0,1400,355,34.0372,-118.2972,1577359871,0
1.0,1.0,585,355,40.1171,-88.1889,1577358883,4
1.0,2.0,1125,357,41.8625,-87.6825,1576666282,3
1.0,2.0,614,357,41.4729,-81.7374,1568749291,3
1.0,2.0,1225,360,40.7647,-74.2119,1576323293,0
1.0,2.0,875,360,44.9545,-123.0072,1577360111,0
1.0,2.0,850,360,30.3054,-97.7497,1577359893,0
1.0,1.0,670,360,43.0724,-89.4003,1577358722,1
1.0,1.0,639,360,40.1145,-88.2723,1577358875,3
1.0,1.0,495,360,36.116,-95.9281,1577359172,2
1.0,2.0,1750,362,38.9118,-77.0132,1577358753,8
1.0,1.0,1050,362,41.8625,-87.6825,1577359538,0
1.0,0.0,950,362,30.3054,-97.7497,1577359719,0
1.0,2.0,1200,367,45.5091,-122.6449,1577016846,0
1.0,1.0,985,367,41.8625,-87.6825,1577359323,1
1.0,2.0,965,368,41.3708,-72.9259,1577359570,0
1.0,1.0,530,368,43.2932,-86.2829,1577358989,3
1.0,2.0,1530,369,47.616,-122.3275,1577360025,0
1.0,1.0,1000,369,33.7815,-118.1934,1568777805,2
1.0,1.0,720,369,39.064,-94.5819,1577015062,3
1.0,0.0,1225,370,40.4841,-74.4526,1577359976,0
1.0,1.0,1025,370,45.5091,-122.6449,1577360049,0
1.0,1.0,765,370,29.4,-95.2394,1577015355,5
1.0,1.0,1975,375,34.0231,-118.4811,1577360156,4
1.0,1.0,1525,375,32.7876,-117.1265,1577360427,0
1.0,1.0,1175,375,45.5091,-122.6449,1577014992,8
1.0,2.0,940,375,30.3054,-97.7497,1577359668,3
1.0,1.0,850,375,40.4969,-86.9659,1577358846,5
1.0,1.0,829,375,33.5178,-112.0848,1577359986,0
1.0,0.0,799,375,40.4969,-86.9659,1577358856,5
1.0,2.0,773,375,44.9855,-93.3023,1575976447,4
1.0,1.0,386,375,42.8224,-89.0658,1577358947,3
1.0,2.0,1400,377,25.7603,-80.3005,1577358409,7
1.0,1.0,3095,378,37.7599,-122.4379,1577015141,4
1.0,2.0,1275,378,45.5091,-122.6449,1577014990,6
1.0,0.0,929,378,30.3054,-97.7497,1577359690,0
1.0,2.0,1591,379,33.8666,-118.0485,1568773445,9
1.0,1.0,2895,380,37.7599,-122.4379,1577359213,2
1.0,0.0,2695,380,37.7599,-122.4379,1577014859,3
1.0,0.0,1400,380,32.7876,-117.1265,1577360250,0
1.0,2.0,955,380,61.1723,-149.8414,1577358618,0
1.0,1.0,540,380,32.2264,-110.9438,1577358743,8
1.0,2.0,2895,381,37.7599,-122.4379,1577358516,2
1.0,2.0,2874,382,37.7599,-122.4379,1577358447,5
1.0,2.0,635,382,35.9695,-83.981,1577359158,7
1.0,1.0,902,384,41.8625,-87.6825,1577358590,1
1.0,0.0,2395,385,37.7599,-122.4379,1577358522,1
1.0,1.0,1250,385,45.5091,-122.6449,1577359521,0
1.0,1.0,540,385,39.1471,-86.5136,1577359046,7
1.0,1.0,350,385,37.2935,-87.127,1576100329,3
1.0,2.0,1262,386,45.5091,-122.6449,1577014971,9
1.0,0.0,1115,389,45.5091,-122.6449,1577358681,6
1.0,2.0,2095,390,41.824,-71.4315,1577359103,11
1.0,1.0,1800,390,38.9118,-77.0132,1577358438,11
1.0,2.0,879,390,28.5163,-81.3644,1577358407,8
1.0,1.0,699,390,40.4969,-86.9659,1577358853,4
1.0,1.0,640,390,40.1171,-88.1889,1577358908,1
1.0,1.0,999,391,30.3054,-97.7497,1577359681,5
1.0,1.0,959,391,30.3054,-97.7497,1577359841,2
1.0,0.0,1654,393,38.9118,-77.0132,1577359354,0
1.0,2.0,995,393,29.5122,-98.5226,1577359123,7
1.0,0.0,919,394,30.3054,-97.7497,1577359752,0
1.0,0.0,1350,395,34.0372,-118.2972,1577359936,0
1.0,1.0,1045,395,41.8625,-87.6825,1576666281,0
1.0,2.0,976,395,30.3054,-97.7497,1577359520,3
1.0,2.0,762,395,48.7871,-122.4437,1577358830,7
1.0,1.0,1050,396,30.3054,-97.7497,1577359621,0
1.0,1.0,1225,397,45.5091,-122.6449,1577014986,8
1.0,2.0,2495,398,37.7599,-122.4379,1577359195,2
1.0,1.0,1173,398,41.8625,-87.6825,1577359324,3
1.0,2.0,1005,398,30.3054,-97.7497,1577359762,2
1.0,2.0,1000,398,30.3054,-97.7497,1577016864,0
1.0,2.0,875,398,30.3054,-97.7497,1577359628,0
1.0,2.0,3000,400,26.0512,-80.147,1577015206,1
1.0,0.0,2450,400,34.0231,-118.4811,1577359404,2
1.0,1.0,2050,400,33.8323,-117.9079,1577015761,1
1.0,0.0,1659,400,38.9118,-77.0132,1577358560,8
1.0,1.0,1625,400,47.3002,-122.2168,1577359246,0
1.0,2.0,1599,400,39.8163,-98.5576,1577359329,3
1.0,0.0,1599,400,40.6997,-73.8103,1576666320,2
1.0,1.0,1500,400,33.1463,-117.1694,1577015267,1
1.0,1.0,1500,400,33.8323,-117.9079,1576666474,1
1.0,0.0,1450,400,32.7876,-117.1265,1577358379,0
1.0,1.0,1415,400,37.9917,-122.5247,1577015122,0
1.0,1.0,1400,400,39.6828,-104.8078,1577015098,0
1.0,1.0,1395,400,42.2711,-83.745,1577358938,2
1.0,1.0,1375,400,32.7685,-117.0046,1577360397,0
1.0,1.0,1355,400,33.8897,-118.1257,1577015768,0
1.0,1.0,1345,400,38.9118,-77.0132,1577015321,0
1.0,1.0,1250,400,42.3895,-71.1039,1577015385,0
1.0,2.0,1242,400,41.8625,-87.6825,1577359303,3
1.0,1.0,1225,400,45.5091,-122.6449,1577014980,8
1.0,1.0,1215,400,37.3108,-121.8645,1577015024,0
1.0,1.0,1200,400,33.5178,-112.0848,1577359307,1
1.0,1.0,1160,400,43.0724,-89.4003,1575637772,6
1.0,1.0,1150,400,39.4276,-76.7727,1577015370,0
1.0,1.0,1100,400,39.8228,-105.1107,1577358487,0
1.0,1.0,1100,400,43.0681,-70.7854,1568773630,2
1.0,2.0,1099,400,28.0076,-82.4792,1577015245,3
1.0,1.0,1095,400,30.3054,-97.7497,1577359523,3
1.0,2.0,1090,400,30.3054,-97.7497,1577359762,3
1.0,2.0,1085,400,30.3054,-97.7497,1577359758,0
1.0,1.0,1050,400,41.8625,-87.6825,1577359558,0
1.0,2.0,1045,400,30.3054,-97.7497,1577359748,4
1.0,2.0,1040,400,30.3054,-97.7497,1577359829,2
1.0,1.0,1035,400,26.0066,-80.2959,1577359230,1
1.0,2.0,1012,400,39.6828,-104.8078,1577358486,0
1.0,1.0,1000,400,40.0054,-75.1415,1577359315,6
1.0,1.0,1000,400,47.2154,-122.4608,1577358915,0
1.0,1.0,995,400,44.9855,-93.3023,1577360121,0
1.0,3.0,975,400,30.3043,-97.7169,1577359606,0
1.0,0.0,975,400,30.3054,-97.7497,1577016822,0
1.0,1.0,975,400,26.0066,-80.2959,1577015203,0
1.0,1.0,950,400,35.6101,-78.4715,1575637649,0
1.0,2.0,945,400,44.9855,-93.3023,1576666502,5
1.0,0.0,925,400,30.3054,-97.7497,1577359911,0
1.0,1.0,925,400,34.0364,-84.3473,1577359228,0
1.0,1.0,925,400,43.0758,-70.9427,1568774407,2
1.0,1.0,919,400,44.9368,-93.3605,1577359573,0
1.0,1.0,910,400,40.0213,-105.2552,1577358925,0
1.0,3.0,900,400,30.3054,-97.7497,1577359673,0
1.0,1.0,900,400,38.7418,-77.4684,1577359251,0
1.0,1.0,900,400,30.3054,-97.7497,1577014864,1
1.0,1.0,899,400,37.1451,-76.5397,1577354122,4
1.0,2.0,895,400,30.3054,-97.7497,1577360401,0
1.0,0.0,895,400,30.3054,-97.7497,1577359523,0
1.0,0.0,895,400,30.3054,-97.7497,1577016822,0
1.0,0.0,895,400,30.3054,-97.7497,1577016824,0
1.0,1.0,875,400,39.8895,-104.9641,1577358487,0
1.0,2.0,875,400,30.3054,-97.7497,1577359639,0
1.0,1.0,875,400,45.4913,-122.4185,1577014989,0
1.0,1.0,865,400,41.7609,-72.7477,1577359098,0
1.0,2.0,857,400,30.3054,-97.7497,1577359660,0
1.0,0.0,850,400,29.7714,-95.4343,1577359940,0
1.0,1.0,850,400,29.7714,-95.4343,1577015364,0
1.0,1.0,845,400,40.0994,-104.8079,1577358919,0
1.0,0.0,829,400,39.3284,-76.6021,1576317914,5
1.0,1.0,800,400,39.6828,-104.8078,1577358486,0
1.0,1.0,799,400,40.4969,-86.9659,1577358846,4
1.0,2.0,799,400,41.8625,-87.6825,1577358588,8
1.5,0.0,750,400,36.193,-115.2946,1576059763,14
1.0,2.0,720,400,45.2764,-92.9901,1577016869,0
1.0,1.0,720,400,39.9974,-82.9829,1575637686,2
1.0,1.0,700,400,40.162,-105.1342,1577358925,0
1.0,1.0,700,400,39.736,-104.9819,1577014995,0
1.0,2.0,695,400,30.8542,-96.9773,1577359364,4
1.0,1.0,691,400,30.2989,-81.6324,1577014820,1
1.0,1.0,690,400,25.7603,-80.3005,1577015202,0
1.0,1.0,660,400,39.1471,-86.5136,1577360132,0
1.0,0.0,615,400,41.2562,-96.0404,1577359911,0
1.0,1.0,600,400,26.6942,-81.8779,1577358633,1
1.0,1.0,600,400,39.736,-104.9819,1577014994,0
1.0,2.0,599,400,40.3613,-86.9005,1577358836,3
1.0,0.0,500,400,36.0646,-79.8238,1568751908,4
1.0,1.0,499,400,32.3841,-93.6685,1568744227,8
1.0,1.0,475,400,39.736,-104.9819,1577359187,0
1.0,1.0,435,400,41.0767,-80.674,1577359850,0
1.0,2.0,425,400,48.2469,-101.3017,1577359854,0
1.0,2.0,300,400,29.9142,-93.9383,1577359005,4
1.0,1.0,975,401,30.3054,-97.7497,1577359663,3
1.0,2.0,2460,402,42.3635,-71.0825,1577358444,0
1.0,2.0,1050,403,43.0735,-88.0172,1577015777,9
2.0,2.0,1198,404,32.5975,-85.4777,1577358943,9
